Date,Open Order,Project Code,Project Name,Inch,Thickness,Weight,Total Order Bars,Total Order Weight (kg),Support Item,Final Quantity (Total Requests for Support Items in Field Operations)
2024-01-20,ORD-00015,PRJ-0002,Pipeline Installation,4 inches,34.0 mm,0.05 tons,17,289,Replacement Belts,98
2024-01-20,ORD-00029,PRJ-0005,Irrigation System,1 inch,25.0 mm,0.03 tons,10,420,Machine Bearings,72
2024-01-20,ORD-00071,PRJ-0002,Pipeline Installation,6 inches,17.5 mm,0.03 tons,17,255,Hydraulic Oil,52
2024-01-21,ORD-00072,PRJ-0003,Power Plant Cooling System,1/2 inch,12.0 mm,0.01 tons,9,90,Clamps,59
2024-01-21,ORD-00041,PRJ-0003,Power Plant Cooling System,1/2 inch,25.0 mm,0.05 tons,8,120,Grinding Wheel,23
2024-01-21,ORD-00087,PRJ-0010,Energy Plant Retrofit,4 inches,25.0 mm,0.04 tons,6,138,Grease Cartridge,38
2024-01-21,ORD-00359,PRJ-0002,Pipeline Installation,10 inches,25.0 mm,0.04 tons,18,594,Coolant,65
2024-01-22,ORD-00240,PRJ-0005,Irrigation System,1 inch,34.0 mm,0.03 tons,8,208,Grease Cartridge,84
2024-01-22,ORD-00266,PRJ-0006,Industrial Plant Construction,6 inches,34.0 mm,0.05 tons,4,76,Measuring Tape,84
2024-01-22,ORD-00043,PRJ-0010,Energy Plant Retrofit,2 inches,12.0 mm,0.01 tons,19,361,Grinding Wheel,40
2024-01-22,ORD-00186,PRJ-0008,Building Construction,24 inches,1.3 mm,0.03 tons,14,630,Clamps,52
2024-01-22,ORD-00282,PRJ-0007,Water Distribution Network,2 inches,1.3 mm,0.05 tons,11,220,Lubricant Spray,19
2024-01-23,ORD-00337,PRJ-0007,Water Distribution Network,24 inches,7.9 mm,0.01 tons,8,384,Pipe Coating Material,14
2024-01-23,ORD-00134,PRJ-0001,Oil & Gas Exploration,4 inches,1.3 mm,0.01 tons,16,448,Replacement Belts,36
2024-01-24,ORD-00192,PRJ-0009,Infrastructure Development,2 inches,7.9 mm,0.02 tons,3,63,Electrical Wires,25
2024-01-24,ORD-00197,PRJ-0006,Industrial Plant Construction,1/2 inch,17.5 mm,0.02 tons,2,56,Safety Gloves,57
2024-01-25,ORD-00079,PRJ-0001,Oil & Gas Exploration,1/2 inch,34.0 mm,0.01 tons,19,437,Replacement Belts,28
2024-01-25,ORD-00315,PRJ-0001,Oil & Gas Exploration,24 inches,6.0 mm,0.04 tons,6,168,Coolant,62
2024-01-25,ORD-00282,PRJ-0007,Water Distribution Network,8 inches,25.0 mm,0.05 tons,11,220,Lubricant Spray,19
2024-01-25,ORD-00186,PRJ-0008,Building Construction,10 inches,34.0 mm,0.03 tons,14,630,Clamps,52
2024-01-26,ORD-00159,PRJ-0010,Energy Plant Retrofit,1 inch,1.3 mm,0.01 tons,13,559,Pipe Coating Material,48
2024-01-26,ORD-00189,PRJ-0009,Infrastructure Development,1/2 inch,6.0 mm,0.03 tons,15,510,Drill Bits,63
2024-01-26,ORD-00331,PRJ-0003,Power Plant Cooling System,1 inch,25.0 mm,0.03 tons,3,141,Electrical Wires,83
2024-01-26,ORD-00324,PRJ-0006,Industrial Plant Construction,1/2 inch,12.0 mm,0.04 tons,15,450,Machine Bearings,86
2024-01-26,ORD-00096,PRJ-0002,Pipeline Installation,1/2 inch,17.5 mm,0.01 tons,10,280,Coolant,36
2024-01-27,ORD-00221,PRJ-0010,Energy Plant Retrofit,4 inches,34.0 mm,0.05 tons,8,304,Grinding Wheel,81
2024-01-27,ORD-00341,PRJ-0003,Power Plant Cooling System,10 inches,17.5 mm,0.02 tons,16,352,Measuring Tape,85
2024-01-27,ORD-00109,PRJ-0005,Irrigation System,10 inches,6.0 mm,0.05 tons,1,30,Grease Cartridge,45
2024-01-28,ORD-00027,PRJ-0005,Irrigation System,1/2 inch,1.3 mm,0.01 tons,16,192,Pipe Coating Material,30
2024-01-28,ORD-00269,PRJ-0006,Industrial Plant Construction,1 inch,25.0 mm,0.02 tons,1,14,Clamps,88
2024-01-28,ORD-00306,PRJ-0010,Energy Plant Retrofit,4 inches,6.0 mm,0.01 tons,19,228,Cutting Blade,72
2024-01-29,ORD-00273,PRJ-0006,Industrial Plant Construction,2 inches,1.3 mm,0.04 tons,2,94,Coolant,24
2024-01-30,ORD-00181,PRJ-0006,Industrial Plant Construction,2 inches,25.0 mm,0.05 tons,3,96,Lubricant Spray,38
2024-01-30,ORD-00329,PRJ-0008,Building Construction,6 inches,12.0 mm,0.04 tons,6,186,Welding Rod,47
2024-01-30,ORD-00062,PRJ-0006,Industrial Plant Construction,24 inches,7.9 mm,0.02 tons,14,392,Electrical Wires,98
2024-01-30,ORD-00330,PRJ-0001,Oil & Gas Exploration,6 inches,6.0 mm,0.02 tons,14,574,Clamps,83
2024-02-01,ORD-00285,PRJ-0001,Oil & Gas Exploration,1/2 inch,12.0 mm,0.01 tons,6,288,Replacement Belts,66
2024-02-01,ORD-00287,PRJ-0008,Building Construction,4 inches,12.0 mm,0.04 tons,13,182,Replacement Belts,77
2024-02-01,ORD-00131,PRJ-0006,Industrial Plant Construction,12 inches,25.0 mm,0.04 tons,16,576,Machine Bearings,71
2024-02-01,ORD-00027,PRJ-0005,Irrigation System,12 inches,34.0 mm,0.01 tons,16,192,Pipe Coating Material,30
2024-02-02,ORD-00313,PRJ-0006,Industrial Plant Construction,10 inches,6.0 mm,0.03 tons,18,252,Hydraulic Oil,96
2024-02-02,ORD-00192,PRJ-0009,Infrastructure Development,1/2 inch,17.5 mm,0.02 tons,3,63,Electrical Wires,25
2024-02-02,ORD-00304,PRJ-0005,Irrigation System,24 inches,34.0 mm,0.05 tons,3,99,Replacement Belts,48
2024-02-03,ORD-00044,PRJ-0010,Energy Plant Retrofit,1 inch,25.0 mm,0.02 tons,14,644,Replacement Belts,44
2024-02-03,ORD-00048,PRJ-0004,Marine Pipeline Project,10 inches,34.0 mm,0.05 tons,6,66,Clamps,22
2024-02-03,ORD-00049,PRJ-0004,Marine Pipeline Project,4 inches,25.0 mm,0.03 tons,10,460,Lubricant Spray,80
2024-02-03,ORD-00340,PRJ-0003,Power Plant Cooling System,12 inches,6.0 mm,0.01 tons,1,19,Hydraulic Oil,77
2024-02-03,ORD-00335,PRJ-0001,Oil & Gas Exploration,24 inches,17.5 mm,0.03 tons,17,374,Grease Cartridge,52
2024-02-05,ORD-00266,PRJ-0006,Industrial Plant Construction,12 inches,6.0 mm,0.05 tons,4,76,Measuring Tape,84
2024-02-05,ORD-00146,PRJ-0002,Pipeline Installation,10 inches,25.0 mm,0.01 tons,12,372,Welding Rod,55
2024-02-06,ORD-00075,PRJ-0005,Irrigation System,12 inches,17.5 mm,0.03 tons,2,54,Electrical Wires,34
2024-02-06,ORD-00201,PRJ-0008,Building Construction,1/2 inch,25.0 mm,0.01 tons,6,288,Machine Bearings,66
2024-02-06,ORD-00204,PRJ-0008,Building Construction,24 inches,25.0 mm,0.02 tons,7,322,Replacement Belts,65
2024-02-08,ORD-00257,PRJ-0008,Building Construction,10 inches,7.9 mm,0.05 tons,4,56,Measuring Tape,92
2024-02-08,ORD-00119,PRJ-0010,Energy Plant Retrofit,12 inches,1.3 mm,0.02 tons,8,232,Cutting Blade,67
2024-02-09,ORD-00099,PRJ-0010,Energy Plant Retrofit,12 inches,17.5 mm,0.01 tons,14,504,Grease Cartridge,91
2024-02-09,ORD-00198,PRJ-0001,Oil & Gas Exploration,10 inches,6.0 mm,0.04 tons,13,416,Lubricant Spray,35
2024-02-09,ORD-00066,PRJ-0010,Energy Plant Retrofit,4 inches,7.9 mm,0.04 tons,1,39,Clamps,96
2024-02-10,ORD-00364,PRJ-0009,Infrastructure Development,24 inches,7.9 mm,0.02 tons,16,480,Grease Cartridge,96
2024-02-10,ORD-00216,PRJ-0002,Pipeline Installation,1 inch,17.5 mm,0.02 tons,15,270,Clamps,13
2024-02-10,ORD-00225,PRJ-0002,Pipeline Installation,1 inch,12.0 mm,0.03 tons,6,78,Electrical Wires,28
2024-02-10,ORD-00312,PRJ-0010,Energy Plant Retrofit,8 inches,7.9 mm,0.03 tons,15,555,Coolant,90
2024-02-11,ORD-00257,PRJ-0008,Building Construction,8 inches,12.0 mm,0.05 tons,4,56,Measuring Tape,92
2024-02-11,ORD-00220,PRJ-0005,Irrigation System,24 inches,6.0 mm,0.01 tons,3,90,Grease Cartridge,22
2024-02-12,ORD-00266,PRJ-0006,Industrial Plant Construction,10 inches,17.5 mm,0.05 tons,4,76,Measuring Tape,84
2024-02-12,ORD-00159,PRJ-0010,Energy Plant Retrofit,2 inches,34.0 mm,0.01 tons,13,559,Pipe Coating Material,48
2024-02-12,ORD-00246,PRJ-0009,Infrastructure Development,24 inches,34.0 mm,0.03 tons,4,176,Electrical Wires,72
2024-02-12,ORD-00213,PRJ-0005,Irrigation System,1/2 inch,1.3 mm,0.04 tons,1,17,Safety Goggles,91
2024-02-12,ORD-00291,PRJ-0009,Infrastructure Development,2 inches,7.9 mm,0.01 tons,4,176,Replacement Belts,98
2024-02-13,ORD-00256,PRJ-0009,Infrastructure Development,24 inches,17.5 mm,0.01 tons,11,187,Pipe Coating Material,92
2024-02-13,ORD-00005,PRJ-0004,Marine Pipeline Project,4 inches,6.0 mm,0.05 tons,16,256,Grinding Wheel,16
2024-02-13,ORD-00227,PRJ-0004,Marine Pipeline Project,12 inches,1.3 mm,0.04 tons,16,192,Pipe Coating Material,30
2024-02-13,ORD-00083,PRJ-0010,Energy Plant Retrofit,12 inches,17.5 mm,0.02 tons,2,32,Lubricant Spray,69
2024-02-15,ORD-00232,PRJ-0007,Water Distribution Network,8 inches,1.3 mm,0.02 tons,6,204,Electrical Wires,11
2024-02-15,ORD-00092,PRJ-0010,Energy Plant Retrofit,1/2 inch,12.0 mm,0.02 tons,19,437,Grinding Wheel,24
2024-02-15,ORD-00031,PRJ-0005,Irrigation System,6 inches,34.0 mm,0.01 tons,19,285,Grinding Wheel,85
2024-02-15,ORD-00184,PRJ-0004,Marine Pipeline Project,1/2 inch,6.0 mm,0.01 tons,13,130,Safety Goggles,25
2024-02-15,ORD-00144,PRJ-0004,Marine Pipeline Project,1/2 inch,1.3 mm,0.05 tons,18,702,Electrical Wires,68
2024-02-16,ORD-00108,PRJ-0009,Infrastructure Development,6 inches,6.0 mm,0.02 tons,7,84,Clamps,20
2024-02-16,ORD-00166,PRJ-0006,Industrial Plant Construction,6 inches,6.0 mm,0.05 tons,6,192,Grease Cartridge,94
2024-02-16,ORD-00317,PRJ-0005,Irrigation System,24 inches,6.0 mm,0.02 tons,4,176,Safety Goggles,97
2024-02-16,ORD-00184,PRJ-0004,Marine Pipeline Project,6 inches,7.9 mm,0.01 tons,13,130,Safety Goggles,25
2024-02-16,ORD-00216,PRJ-0002,Pipeline Installation,2 inches,34.0 mm,0.02 tons,15,270,Clamps,13
2024-02-16,ORD-00199,PRJ-0002,Pipeline Installation,4 inches,7.9 mm,0.03 tons,4,148,Replacement Belts,36
2024-02-16,ORD-00224,PRJ-0008,Building Construction,12 inches,6.0 mm,0.04 tons,6,108,Cutting Blade,51
2024-02-17,ORD-00252,PRJ-0001,Oil & Gas Exploration,2 inches,12.0 mm,0.02 tons,7,147,Replacement Belts,77
2024-02-17,ORD-00249,PRJ-0007,Water Distribution Network,1 inch,7.9 mm,0.02 tons,10,450,Hydraulic Oil,34
2024-02-17,ORD-00250,PRJ-0005,Irrigation System,1/2 inch,12.0 mm,0.01 tons,15,390,Welding Rod,81
2024-02-18,ORD-00181,PRJ-0006,Industrial Plant Construction,24 inches,1.3 mm,0.05 tons,3,96,Lubricant Spray,38
2024-02-18,ORD-00162,PRJ-0005,Irrigation System,1/2 inch,12.0 mm,0.05 tons,10,150,Coolant,11
2024-02-18,ORD-00120,PRJ-0010,Energy Plant Retrofit,12 inches,12.0 mm,0.01 tons,3,129,Coolant,84
2024-02-18,ORD-00257,PRJ-0008,Building Construction,1 inch,34.0 mm,0.05 tons,4,56,Measuring Tape,92
2024-02-19,ORD-00319,PRJ-0004,Marine Pipeline Project,8 inches,25.0 mm,0.02 tons,12,312,Grease Cartridge,97
2024-02-21,ORD-00284,PRJ-0008,Building Construction,10 inches,12.0 mm,0.04 tons,1,21,Clamps,81
2024-02-22,ORD-00146,PRJ-0002,Pipeline Installation,24 inches,12.0 mm,0.01 tons,12,372,Welding Rod,55
2024-02-22,ORD-00217,PRJ-0004,Marine Pipeline Project,10 inches,1.3 mm,0.05 tons,19,247,Cutting Blade,47
2024-02-22,ORD-00189,PRJ-0009,Infrastructure Development,10 inches,1.3 mm,0.03 tons,15,510,Drill Bits,63
2024-02-22,ORD-00009,PRJ-0006,Industrial Plant Construction,6 inches,34.0 mm,0.04 tons,14,196,Grease Cartridge,71
2024-02-22,ORD-00168,PRJ-0003,Power Plant Cooling System,8 inches,34.0 mm,0.03 tons,13,260,Safety Gloves,43
2024-02-22,ORD-00287,PRJ-0008,Building Construction,24 inches,12.0 mm,0.04 tons,13,182,Replacement Belts,77
2024-02-23,ORD-00055,PRJ-0004,Marine Pipeline Project,24 inches,17.5 mm,0.05 tons,15,225,Replacement Belts,43
2024-02-23,ORD-00004,PRJ-0002,Pipeline Installation,10 inches,17.5 mm,0.01 tons,12,288,Safety Goggles,38
2024-02-24,ORD-00138,PRJ-0001,Oil & Gas Exploration,1/2 inch,7.9 mm,0.04 tons,12,456,Grinding Wheel,92
2024-02-25,ORD-00153,PRJ-0008,Building Construction,1 inch,17.5 mm,0.02 tons,4,60,Lubricant Spray,62
2024-02-25,ORD-00148,PRJ-0009,Infrastructure Development,10 inches,6.0 mm,0.04 tons,7,245,Measuring Tape,38
2024-02-25,ORD-00027,PRJ-0005,Irrigation System,1/2 inch,12.0 mm,0.01 tons,16,192,Pipe Coating Material,30
2024-02-25,ORD-00021,PRJ-0005,Irrigation System,1/2 inch,34.0 mm,0.05 tons,9,369,Lubricant Spray,44
2024-02-26,ORD-00193,PRJ-0007,Water Distribution Network,4 inches,12.0 mm,0.04 tons,9,441,Measuring Tape,35
2024-02-26,ORD-00121,PRJ-0009,Infrastructure Development,1 inch,1.3 mm,0.04 tons,15,705,Pipe Coating Material,67
2024-02-27,ORD-00087,PRJ-0010,Energy Plant Retrofit,4 inches,7.9 mm,0.04 tons,6,138,Grease Cartridge,38
2024-02-27,ORD-00278,PRJ-0010,Energy Plant Retrofit,2 inches,1.3 mm,0.05 tons,3,141,Electrical Wires,44
2024-02-28,ORD-00307,PRJ-0003,Power Plant Cooling System,12 inches,25.0 mm,0.03 tons,18,288,Lubricant Spray,18
2024-02-28,ORD-00011,PRJ-0007,Water Distribution Network,10 inches,25.0 mm,0.01 tons,13,130,Clamps,24
2024-02-28,ORD-00303,PRJ-0010,Energy Plant Retrofit,10 inches,34.0 mm,0.02 tons,3,63,Electrical Wires,94
2024-02-28,ORD-00002,PRJ-0002,Pipeline Installation,1/2 inch,6.0 mm,0.05 tons,13,559,Measuring Tape,73
2024-03-01,ORD-00122,PRJ-0009,Infrastructure Development,10 inches,6.0 mm,0.01 tons,9,324,Cutting Blade,48
2024-03-01,ORD-00337,PRJ-0007,Water Distribution Network,4 inches,6.0 mm,0.01 tons,8,384,Pipe Coating Material,14
2024-03-02,ORD-00322,PRJ-0007,Water Distribution Network,4 inches,12.0 mm,0.02 tons,14,686,Electrical Wires,14
2024-03-02,ORD-00044,PRJ-0010,Energy Plant Retrofit,10 inches,7.9 mm,0.02 tons,14,644,Replacement Belts,44
2024-03-03,ORD-00138,PRJ-0001,Oil & Gas Exploration,4 inches,12.0 mm,0.04 tons,12,456,Grinding Wheel,92
2024-03-03,ORD-00206,PRJ-0004,Marine Pipeline Project,10 inches,34.0 mm,0.02 tons,3,72,Grinding Wheel,19
2024-03-03,ORD-00211,PRJ-0009,Infrastructure Development,8 inches,12.0 mm,0.05 tons,1,30,Grinding Wheel,62
2024-03-04,ORD-00144,PRJ-0004,Marine Pipeline Project,1 inch,7.9 mm,0.05 tons,18,702,Electrical Wires,68
2024-03-04,ORD-00326,PRJ-0003,Power Plant Cooling System,24 inches,34.0 mm,0.02 tons,6,204,Machine Bearings,88
2024-03-04,ORD-00210,PRJ-0007,Water Distribution Network,1 inch,1.3 mm,0.02 tons,12,288,Machine Bearings,12
2024-03-04,ORD-00244,PRJ-0008,Building Construction,6 inches,6.0 mm,0.04 tons,18,828,Machine Bearings,29
2024-03-04,ORD-00226,PRJ-0003,Power Plant Cooling System,10 inches,12.0 mm,0.04 tons,3,90,Coolant,32
2024-03-04,ORD-00127,PRJ-0005,Irrigation System,10 inches,1.3 mm,0.01 tons,6,288,Clamps,67
2024-03-05,ORD-00227,PRJ-0004,Marine Pipeline Project,8 inches,7.9 mm,0.04 tons,16,192,Pipe Coating Material,30
2024-03-05,ORD-00057,PRJ-0007,Water Distribution Network,4 inches,6.0 mm,0.02 tons,12,456,Clamps,56
2024-03-06,ORD-00346,PRJ-0005,Irrigation System,10 inches,25.0 mm,0.02 tons,3,81,Drill Bits,62
2024-03-06,ORD-00365,PRJ-0001,Oil & Gas Exploration,10 inches,12.0 mm,0.02 tons,17,340,Drill Bits,66
2024-03-06,ORD-00189,PRJ-0009,Infrastructure Development,8 inches,25.0 mm,0.03 tons,15,510,Drill Bits,63
2024-03-06,ORD-00208,PRJ-0004,Marine Pipeline Project,24 inches,6.0 mm,0.01 tons,14,252,Electrical Wires,99
2024-03-07,ORD-00120,PRJ-0010,Energy Plant Retrofit,24 inches,12.0 mm,0.01 tons,3,129,Coolant,84
2024-03-07,ORD-00036,PRJ-0006,Industrial Plant Construction,24 inches,1.3 mm,0.03 tons,19,323,Machine Bearings,65
2024-03-07,ORD-00126,PRJ-0001,Oil & Gas Exploration,1 inch,1.3 mm,0.05 tons,18,756,Lubricant Spray,96
2024-03-08,ORD-00240,PRJ-0005,Irrigation System,6 inches,7.9 mm,0.03 tons,8,208,Grease Cartridge,84
2024-03-09,ORD-00161,PRJ-0009,Infrastructure Development,24 inches,17.5 mm,0.02 tons,2,56,Welding Rod,62
2024-03-09,ORD-00143,PRJ-0008,Building Construction,6 inches,1.3 mm,0.02 tons,14,574,Welding Rod,38
2024-03-10,ORD-00034,PRJ-0009,Infrastructure Development,1 inch,25.0 mm,0.01 tons,2,88,Clamps,97
2024-03-11,ORD-00205,PRJ-0006,Industrial Plant Construction,6 inches,25.0 mm,0.01 tons,2,32,Safety Goggles,88
2024-03-11,ORD-00282,PRJ-0007,Water Distribution Network,1 inch,12.0 mm,0.05 tons,11,220,Lubricant Spray,19
2024-03-11,ORD-00192,PRJ-0009,Infrastructure Development,24 inches,34.0 mm,0.02 tons,3,63,Electrical Wires,25
2024-03-11,ORD-00012,PRJ-0008,Building Construction,6 inches,6.0 mm,0.02 tons,10,270,Clamps,66
2024-03-12,ORD-00100,PRJ-0008,Building Construction,24 inches,17.5 mm,0.01 tons,13,351,Measuring Tape,12
2024-03-12,ORD-00080,PRJ-0007,Water Distribution Network,12 inches,1.3 mm,0.01 tons,2,40,Machine Bearings,71
2024-03-12,ORD-00036,PRJ-0006,Industrial Plant Construction,1 inch,34.0 mm,0.03 tons,19,323,Machine Bearings,65
2024-03-12,ORD-00318,PRJ-0005,Irrigation System,8 inches,12.0 mm,0.03 tons,10,110,Grease Cartridge,54
2024-03-13,ORD-00194,PRJ-0007,Water Distribution Network,10 inches,34.0 mm,0.03 tons,10,260,Cutting Blade,11
2024-03-14,ORD-00358,PRJ-0008,Building Construction,6 inches,7.9 mm,0.04 tons,16,416,Measuring Tape,26
2024-03-14,ORD-00026,PRJ-0005,Irrigation System,10 inches,1.3 mm,0.05 tons,1,48,Grease Cartridge,29
2024-03-15,ORD-00072,PRJ-0003,Power Plant Cooling System,1/2 inch,12.0 mm,0.01 tons,9,90,Clamps,59
2024-03-15,ORD-00142,PRJ-0007,Water Distribution Network,6 inches,17.5 mm,0.01 tons,14,630,Grinding Wheel,13
2024-03-16,ORD-00007,PRJ-0004,Marine Pipeline Project,24 inches,12.0 mm,0.03 tons,8,120,Safety Goggles,44
2024-03-16,ORD-00004,PRJ-0002,Pipeline Installation,1 inch,1.3 mm,0.01 tons,12,288,Safety Goggles,38
2024-03-17,ORD-00233,PRJ-0008,Building Construction,4 inches,34.0 mm,0.05 tons,18,720,Grease Cartridge,10
2024-03-17,ORD-00266,PRJ-0006,Industrial Plant Construction,10 inches,6.0 mm,0.05 tons,4,76,Measuring Tape,84
2024-03-18,ORD-00262,PRJ-0006,Industrial Plant Construction,10 inches,17.5 mm,0.02 tons,8,296,Coolant,85
2024-03-19,ORD-00365,PRJ-0001,Oil & Gas Exploration,1 inch,34.0 mm,0.02 tons,17,340,Drill Bits,66
2024-03-19,ORD-00055,PRJ-0004,Marine Pipeline Project,1 inch,6.0 mm,0.05 tons,15,225,Replacement Belts,43
2024-03-20,ORD-00120,PRJ-0010,Energy Plant Retrofit,12 inches,12.0 mm,0.01 tons,3,129,Coolant,84
2024-03-20,ORD-00265,PRJ-0005,Irrigation System,8 inches,12.0 mm,0.05 tons,18,720,Grinding Wheel,66
2024-03-20,ORD-00090,PRJ-0007,Water Distribution Network,1/2 inch,7.9 mm,0.01 tons,7,161,Replacement Belts,48
2024-03-21,ORD-00221,PRJ-0010,Energy Plant Retrofit,12 inches,6.0 mm,0.05 tons,8,304,Grinding Wheel,81
2024-03-21,ORD-00293,PRJ-0005,Irrigation System,6 inches,34.0 mm,0.02 tons,6,294,Pipe Coating Material,27
2024-03-21,ORD-00255,PRJ-0007,Water Distribution Network,1 inch,34.0 mm,0.05 tons,4,56,Electrical Wires,64
2024-03-22,ORD-00290,PRJ-0005,Irrigation System,2 inches,6.0 mm,0.05 tons,2,84,Lubricant Spray,44
2024-03-22,ORD-00094,PRJ-0008,Building Construction,8 inches,25.0 mm,0.03 tons,12,576,Lubricant Spray,31
2024-03-23,ORD-00313,PRJ-0006,Industrial Plant Construction,24 inches,17.5 mm,0.03 tons,18,252,Hydraulic Oil,96
2024-03-23,ORD-00233,PRJ-0008,Building Construction,24 inches,6.0 mm,0.05 tons,18,720,Grease Cartridge,10
2024-03-23,ORD-00118,PRJ-0003,Power Plant Cooling System,24 inches,1.3 mm,0.05 tons,6,96,Electrical Wires,35
2024-03-23,ORD-00330,PRJ-0001,Oil & Gas Exploration,2 inches,6.0 mm,0.02 tons,14,574,Clamps,83
2024-03-23,ORD-00291,PRJ-0009,Infrastructure Development,4 inches,6.0 mm,0.01 tons,4,176,Replacement Belts,98
2024-03-23,ORD-00337,PRJ-0007,Water Distribution Network,8 inches,1.3 mm,0.01 tons,8,384,Pipe Coating Material,14
2024-03-24,ORD-00279,PRJ-0003,Power Plant Cooling System,12 inches,6.0 mm,0.04 tons,10,190,Cutting Blade,65
